ram,nm,nt,rf,lt,nn,t,wl,dbs,[OVERALL] RunTime(ms),[OVERALL] Throughput(ops/sec),[TOTAL_GCS_PS_Scavenge] Count,[TOTAL_GC_TIME_PS_Scavenge] Time(ms),[TOTAL_GC_TIME_%_PS_Scavenge] Time(%),[TOTAL_GCS_PS_MarkSweep] Count,[TOTAL_GC_TIME_PS_MarkSweep] Time(ms),[TOTAL_GC_TIME_%_PS_MarkSweep] Time(%),[TOTAL_GCs] Count,[TOTAL_GC_TIME] Time(ms),[TOTAL_GC_TIME_%] Time(%),[READ] Operations,[READ] AverageLatency(us),[READ] MinLatency(us),[READ] MaxLatency(us),[READ] 95thPercentileLatency(us),[READ] 99thPercentileLatency(us),[READ] Return=OK,[CLEANUP] Operations,[CLEANUP] AverageLatency(us),[CLEANUP] MinLatency(us),[CLEANUP] MaxLatency(us),[CLEANUP] 95thPercentileLatency(us),[CLEANUP] 99thPercentileLatency(us),[INSERT] Operations,[INSERT] AverageLatency(us),[INSERT] MinLatency(us),[INSERT] MaxLatency(us),[INSERT] 95thPercentileLatency(us),[INSERT] 99thPercentileLatency(us),[INSERT] Return=OK,[SCAN] Operations,[SCAN] AverageLatency(us),[SCAN] MinLatency(us),[SCAN] MaxLatency(us),[SCAN] 95thPercentileLatency(us),[SCAN] 99thPercentileLatency(us),[SCAN] Return=OK,[UPDATE] Operations,[UPDATE] AverageLatency(us),[UPDATE] MinLatency(us),[UPDATE] MaxLatency(us),[UPDATE] 95thPercentileLatency(us),[UPDATE] 99thPercentileLatency(us),[UPDATE] Return=OK
1GB,eth,rp,1,1,1,7,a,1000, 49062.0, 203.82373323549794, 1.0, 7.0, 0.014267661326484857, 0.0, 0.0, 0.0, 1.0, 7.0, 0.014267661326484857, 5017.0, 4946.143711381304, 3716.0, 60127.0, 6379.0, 8991.0, 5017, 1.0, 2231296.0, 2230272.0, 2232319.0, 2232319.0, 2232319.0,,,,,,,,,,,,,,, 4983.0, 4253.497692153322, 3288.0, 64031.0, 5519.0, 8335.0, 4983
1GB,eth,rp,1,1,1,13,e,1000, 548041.0, 18.2468100014415, 17.0, 73.0, 0.013320171301052295, 0.0, 0.0, 0.0, 17.0, 73.0, 0.013320171301052295,,,,,,,, 1.0, 2214912.0, 2213888.0, 2215935.0, 2215935.0, 2215935.0, 502.0, 10885.780876494024, 7920.0, 40511.0, 16831.0, 22559.0, 502, 9498.0, 56797.063802905875, 11200.0, 145407.0, 94399.0, 110655.0, 9498,,,,,,,
1GB,eth,rp,1,1,1,12,e,1000, 555596.0, 17.998689695390176, 17.0, 60.0, 0.010799213817234105, 0.0, 0.0, 0.0, 17.0, 60.0, 0.010799213817234105,,,,,,,, 1.0, 2216960.0, 2215936.0, 2217983.0, 2217983.0, 2217983.0, 485.0, 10747.558762886598, 8148.0, 50015.0, 15447.0, 24351.0, 485, 9515.0, 57513.18843930636, 10168.0, 336639.0, 95103.0, 110271.0, 9515,,,,,,,
1GB,eth,rp,1,1,1,28,a,1000, 51042.0, 195.91708788840563, 1.0, 7.0, 0.013714196152188395, 0.0, 0.0, 0.0, 1.0, 7.0, 0.013714196152188395, 5017.0, 5377.706597568268, 3608.0, 57919.0, 9983.0, 11351.0, 5017, 1.0, 2212864.0, 2211840.0, 2213887.0, 2213887.0, 2213887.0,,,,,,,,,,,,,,, 4983.0, 4229.545053180815, 3208.0, 20399.0, 5431.0, 7859.0, 4983
1GB,eth,rp,1,1,1,23,e,1000, 539029.0, 18.551877542766714, 17.0, 61.0, 0.011316645301087697, 0.0, 0.0, 0.0, 17.0, 61.0, 0.011316645301087697,,,,,,,, 1.0, 2216960.0, 2215936.0, 2217983.0, 2217983.0, 2217983.0, 480.0, 10776.325, 7784.0, 25263.0, 17375.0, 21215.0, 480, 9520.0, 55747.2768907563, 10368.0, 151167.0, 94271.0, 109695.0, 9520,,,,,,,
1GB,eth,rp,1,1,1,2,c,1000, 52052.0, 192.11557673096135, 1.0, 7.0, 0.013448090371167292, 0.0, 0.0, 0.0, 1.0, 7.0, 0.013448090371167292, 10000.0, 4898.9217, 3528.0, 64095.0, 6171.0, 8511.0, 10000, 1.0, 2219008.0, 2217984.0, 2220031.0, 2220031.0, 2220031.0,,,,,,,,,,,,,,,,,,,,,
1GB,eth,rp,1,1,1,11,a,1000, 59092.0, 169.22764502809179, 1.0, 17.0, 0.028768699654775604, 0.0, 0.0, 0.0, 1.0, 17.0, 0.028768699654775604, 5052.0, 6953.772565320665, 3670.0, 60735.0, 10863.0, 12895.0, 5052, 1.0, 2219008.0, 2217984.0, 2220031.0, 2220031.0, 2220031.0,,,,,,,,,,,,,,, 4948.0, 4232.360549717057, 2974.0, 58431.0, 5819.0, 7531.0, 4948
1GB,eth,rp,1,1,1,19,c,1000, 49473.0, 202.1304549956542, 1.0, 10.0, 0.02021304549956542, 0.0, 0.0, 0.0, 1.0, 10.0, 0.02021304549956542, 10000.0, 4638.7304, 3428.0, 52799.0, 8495.0, 10927.0, 10000, 1.0, 2225152.0, 2224128.0, 2226175.0, 2226175.0, 2226175.0,,,,,,,,,,,,,,,,,,,,,
1GB,eth,rp,1,1,1,22,e,1000, 541626.0, 18.462924601108515, 17.0, 61.0, 0.011262384006676193, 0.0, 0.0, 0.0, 17.0, 61.0, 0.011262384006676193,,,,,,,, 1.0, 2210816.0, 2209792.0, 2211839.0, 2211839.0, 2211839.0, 498.0, 10861.305220883534, 7996.0, 61087.0, 17903.0, 23151.0, 498, 9502.0, 56102.07366870133, 10440.0, 155903.0, 94655.0, 107903.0, 9502,,,,,,,
1GB,eth,rp,1,1,1,10,a,1000, 59537.0, 167.96277944807431, 1.0, 7.0, 0.011757394561365202, 0.0, 0.0, 0.0, 1.0, 7.0, 0.011757394561365202, 5076.0, 7033.034278959811, 3734.0, 65183.0, 10911.0, 12951.0, 5076, 1.0, 2225152.0, 2224128.0, 2226175.0, 2226175.0, 2226175.0,,,,,,,,,,,,,,, 4924.0, 4209.52376116978, 2872.0, 26783.0, 5583.0, 7407.0, 4924
