ld,wl,Throughput(ops/sec),RunTime(ms),ram,n,t,RunTime(s),dbs
True,c, 2841.474156792544, 351930.0,2GB,1,2,351.93,1000
True,a, 2895.0347259415375, 345419.0,2GB,1,5,345.419,1000
True,a, 2951.8029612487308, 169388.0,2GB,1,2,169.388,500
False,f, 442.90902648595977, 22578.0,2GB,1,3,22.578,800
False,a, 484.8484848484849, 20625.0,2GB,6,5,20.625,800
True,f, 2894.883871733485, 345437.0,2GB,1,3,345.437,1000
True,c, 1311.5080900376533, 762481.0,2GB,3,1,762.481,1000
False,c, 292.98877852978234, 34131.0,2GB,6,2,34.131,1000
False,c, 655.4798112218143, 15256.0,2GB,3,2,15.256,500
False,a, 487.28194133125425, 20522.0,2GB,1,1,20.522,800
False,c, 491.4004914004914, 20350.0,2GB,1,5,20.35,1000
True,c, 2898.5003159365347, 172503.0,2GB,1,5,172.503,500
False,c, 850.9914049868096, 11751.0,2GB,1,3,11.751,500
False,c, 768.4623069238454, 13013.0,2GB,1,2,13.013,1000
False,a, 414.524954402255, 24124.0,2GB,3,3,24.124,1000
True,f, 612.9531716035958, 815723.0,2GB,6,3,815.723,500
False,a, 616.370808678501, 16224.0,2GB,3,1,16.224,800
True,c, 648.362948391606, 1542346.0,2GB,6,1,1542.346,1000
True,c, 2800.100803628931, 285704.0,2GB,1,5,285.704,800
True,a, 561.111809383585, 891088.0,2GB,6,1,891.088,500
False,a, 496.4257347100874, 20144.0,2GB,1,1,20.144,1000
True,a, 1283.7398937576863, 778974.0,2GB,3,4,778.974,1000
True,c, 1294.2001713521026, 386339.0,2GB,3,3,386.339,500
False,f, 405.0879040751843, 24686.0,2GB,6,2,24.686,500
True,f, 2823.6722563612043, 283319.0,2GB,1,4,283.319,800
True,c, 651.2434843089395, 767762.0,2GB,6,2,767.762,500
False,a, 844.9514152936206, 11835.0,2GB,1,4,11.835,500
True,f, 199.13772886039496, 1923061.0,2GB,6,3,1923.061,800
True,c, 1259.0906343802253, 397112.0,2GB,3,1,397.112,500
True,f, 1295.5448802657422, 385938.0,2GB,3,3,385.938,500
True,a, 664.9422497656078, 751945.0,2GB,6,3,751.945,500
True,a, 2796.6630216825283, 357569.0,2GB,1,2,357.569,1000
False,a, 282.8614261873108, 35353.0,2GB,6,2,35.353,1000
False,f, 509.580105992662, 19624.0,2GB,3,4,19.624,800
False,f, 211.77915669539803, 47219.0,2GB,6,4,47.219,500
False,c, 796.4954201513341, 12555.0,2GB,1,1,12.555,1000
False,c, 331.2684268062411, 30187.0,2GB,6,1,30.187,800
False,f, 447.52741105392704, 22345.0,2GB,1,2,22.345,800
False,c, 458.23214040232784, 21823.0,2GB,3,4,21.823,1000
True,f, 2779.074679294782, 359832.0,2GB,1,1,359.832,1000
True,a, 1288.256383632445, 776243.0,2GB,3,5,776.243,1000
True,f, 615.0379232383468, 1625916.0,2GB,6,4,1625.916,1000
False,c, 709.622480840193, 14092.0,2GB,3,5,14.092,500
False,f, 335.3903944191038, 29816.0,2GB,3,2,29.816,1000
False,a, 719.165767709457, 13905.0,2GB,1,5,13.905,500
False,f, 456.6627089231893, 21898.0,2GB,1,3,21.898,1000
True,f, 614.5431639754797, 1301780.0,2GB,6,4,1301.78,800
False,a, 629.8022420959819, 15878.0,2GB,3,4,15.878,800
False,a, 670.1065469409637, 14923.0,2GB,3,4,14.923,500
False,f, 358.7701359738815, 27873.0,2GB,6,2,27.873,800
True,f, 603.4638826866212, 1657100.0,2GB,6,1,1657.1,1000
True,c, 1300.5803839963585, 615110.0,2GB,3,2,615.11,800
False,c, 286.4672854360032, 34908.0,2GB,6,1,34.908,1000
True,f, 2811.373693414076, 355698.0,2GB,1,4,355.698,1000
True,c, 2824.01314860522, 354106.0,2GB,1,3,354.106,1000
False,f, 540.5405405405405, 18500.0,2GB,3,5,18.5,500
False,f, 362.62102476701597, 27577.0,2GB,3,5,27.577,1000
True,c, 2862.9505568438835, 174645.0,2GB,1,2,174.645,500
False,a, 216.99034392969511, 46085.0,2GB,6,5,46.085,1000
False,a, 489.4283476898982, 20432.0,2GB,1,5,20.432,1000
True,f, 631.9610509765063, 791188.0,2GB,6,1,791.188,500
True,c, 1293.2720753460312, 618586.0,2GB,3,3,618.586,800
True,c, 1314.267690043108, 608704.0,2GB,3,4,608.704,800
False,c, 436.2621062734491, 22922.0,2GB,3,2,22.922,1000
False,f, 489.5241824946152, 20428.0,2GB,1,2,20.428,1000
True,c, 673.6474506485878, 742228.0,2GB,6,5,742.228,500
False,a, 427.42349119507605, 23396.0,2GB,3,1,23.396,500
False,a, 270.65064414853305, 36948.0,2GB,6,5,36.948,500
False,c, 505.3312446308555, 19789.0,2GB,6,3,19.789,800
False,a, 282.35825615541, 35416.0,2GB,6,2,35.416,500
True,a, 637.4552785281157, 1254990.0,2GB,6,2,1254.99,800
True,f, 1291.5424633331095, 387134.0,2GB,3,2,387.134,500
False,a, 501.2531328320802, 19950.0,2GB,1,4,19.95,800
False,c, 547.4952094169176, 18265.0,2GB,3,1,18.265,500
True,c, 637.479457224491, 1568678.0,2GB,6,4,1568.678,1000
True,a, 643.6091541817218, 1553738.0,2GB,6,2,1553.738,1000
False,a, 470.41113933577947, 21258.0,2GB,6,4,21.258,800
True,f, 1310.1746855908298, 763257.0,2GB,3,5,763.257,1000
True,c, 664.2703115178659, 1204329.0,2GB,6,5,1204.329,800
True,f, 1276.3698000694344, 391736.0,2GB,3,4,391.736,500
False,c, 741.7847340701728, 13481.0,2GB,3,4,13.481,500
False,a, 822.7067050596462, 12155.0,2GB,1,4,12.155,1000
True,a, 1289.5704698678965, 387726.0,2GB,3,4,387.726,500
True,a, 659.4229060437758, 1213182.0,2GB,6,4,1213.182,800
False,a, 620.0396825396825, 16128.0,2GB,3,5,16.128,800
False,f, 283.64770954474545, 35255.0,2GB,6,1,35.255,1000
