med,row/s,max,sum ms,errors,compaction,.99,.999,total ops,compression,mb,pk/s,.95,max ms,rf,stderr,time,mean,sdv ms,op/s,type,network_type,gc: #,op
64.8,2695,321.4,0,0,none,201.7,285.7,40588,LZ4Compressor,0,2695,153.0,0,none,0.05361,20.1,75.3,0,2695,,wireless,0,writes_only
70.3,2252,301.2,0,0,none,192.0,232.7,4503,LZ4Compressor,0,2252,153.9,0,none,0.0,2.0,77.2,0,2252,,wireless,0,writes_only
82.5,2265,367.5,0,0,none,211.0,295.2,9654,LZ4Compressor,0,2265,168.4,0,none,0.00658,4.3,89.0,0,2265,,wireless,0,writes_only
71.6,2621,302.5,0,0,none,197.9,254.8,15453,LZ4Compressor,0,2621,151.0,0,none,0.03527,6.5,76.8,0,2621,,wireless,0,writes_only
63.9,2731,348.1,0,0,none,228.2,303.3,21430,LZ4Compressor,0,2731,166.9,0,none,0.04216,8.7,72.2,0,2731,,wireless,0,writes_only
67.7,2780,358.4,0,0,none,194.0,316.4,27337,LZ4Compressor,0,2780,139.5,0,none,0.04181,10.8,73.2,0,2780,,wireless,0,writes_only
66.7,2656,292.6,0,0,none,201.7,253.6,32957,LZ4Compressor,0,2656,147.1,0,none,0.03495,12.9,74.8,0,2656,,wireless,0,writes_only
63.4,1958,746.6,0,0,none,645.4,742.4,37096,LZ4Compressor,0,1958,442.0,0,none,0.02994,15.0,95.2,0,1958,,wireless,0,writes_only
679.5,276,1266.7,0,0,none,885.0,1091.6,37842,LZ4Compressor,0,276,854.1,0,none,0.11188,17.7,677.7,0,276,,wireless,0,writes_only
92.5,1316,1252.0,0,0,none,889.7,915.4,40955,LZ4Compressor,0,1316,601.4,0,none,0.09913,20.1,173.6,0,1316,,wireless,0,writes_only
77.0,1899,386.1,0,0,none,299.6,369.4,3790,LZ4Compressor,0,1899,236.7,0,none,0.0,2.0,93.4,0,1899,,wireless,0,writes_only
91.8,2031,325.3,0,0,none,238.9,284.7,8221,LZ4Compressor,0,2031,185.5,0,none,0.0048,4.2,96.3,0,2031,,wireless,0,writes_only
72.7,2535,343.7,0,0,none,210.8,281.5,14064,LZ4Compressor,0,2535,162.0,0,none,0.06439,6.5,80.8,0,2535,,wireless,0,writes_only
69.1,2564,345.2,0,0,none,262.7,310.9,19474,LZ4Compressor,0,2564,169.5,0,none,0.06071,8.6,77.4,0,2564,,wireless,0,writes_only
69.0,2647,287.6,0,0,none,202.8,258.7,25256,LZ4Compressor,0,2647,149.6,0,none,0.0525,10.8,75.2,0,2647,,wireless,0,writes_only
67.1,2606,315.1,0,0,none,214.3,287.8,30817,LZ4Compressor,0,2606,165.3,0,none,0.04577,12.9,77.1,0,2606,,wireless,0,writes_only
68.2,2690,330.0,0,0,none,214.7,265.0,36968,LZ4Compressor,0,2690,151.4,0,none,0.04145,15.2,74.0,0,2690,,wireless,0,writes_only
72.9,2341,420.2,0,0,none,262.3,350.5,42310,LZ4Compressor,0,2341,184.7,0,none,0.03626,17.5,85.1,0,2341,,wireless,0,writes_only
66.3,2798,334.5,0,0,none,191.9,237.2,48526,LZ4Compressor,0,2798,137.8,0,none,0.03529,19.7,70.7,0,2798,,wireless,0,writes_only
77.1,2616,288.9,0,0,none,190.1,275.5,49482,LZ4Compressor,0,2616,172.6,0,none,0.23605,20.1,87.9,0,2616,,wireless,0,writes_only
87.4,1774,456.1,0,0,none,307.5,364.1,3542,LZ4Compressor,0,1774,201.5,0,none,0.0,2.0,99.1,0,1774,,wireless,0,writes_only
90.2,2015,489.9,0,0,none,277.3,362.5,8454,LZ4Compressor,0,2015,204.5,0,none,0.03266,4.4,99.0,0,2015,,wireless,0,writes_only
76.3,2452,435.4,0,0,none,248.5,395.1,13973,LZ4Compressor,0,2452,169.6,0,none,0.06844,6.7,82.1,0,2452,,wireless,0,writes_only
68.2,2582,335.8,0,0,none,243.9,276.3,19477,LZ4Compressor,0,2582,172.0,0,none,0.06055,8.8,77.3,0,2582,,wireless,0,writes_only
69.1,2570,314.6,0,0,none,218.2,283.9,25176,LZ4Compressor,0,2570,159.6,0,none,0.05045,11.0,78.4,0,2570,,wireless,0,writes_only
72.7,2620,304.6,0,0,none,185.6,252.3,30971,LZ4Compressor,0,2620,147.1,0,none,0.04362,13.2,76.0,0,2620,,wireless,0,writes_only
64.5,2757,340.3,0,0,none,200.5,250.7,36954,LZ4Compressor,0,2757,146.3,0,none,0.04182,15.4,72.8,0,2757,,wireless,0,writes_only
75.4,2434,297.8,0,0,none,201.1,262.1,42336,LZ4Compressor,0,2434,161.0,0,none,0.03685,17.6,81.4,0,2434,,wireless,0,writes_only
96.9,713,1058.5,0,0,none,924.8,1057.5,43889,LZ4Compressor,0,713,829.4,0,none,0.06723,19.8,245.4,0,713,,wireless,0,writes_only
72.7,2341,396.1,0,0,none,208.4,264.1,4683,LZ4Compressor,0,2341,165.9,0,none,0.0,2.0,78.5,0,2341,,wireless,0,writes_only
80.3,2319,356.3,0,0,none,188.7,262.9,10281,LZ4Compressor,0,2319,155.8,0,none,0.02486,4.4,86.8,0,2319,,wireless,0,writes_only
71.1,2587,290.2,0,0,none,194.2,255.7,16189,LZ4Compressor,0,2587,152.2,0,none,0.02123,6.7,76.6,0,2587,,wireless,0,writes_only
66.4,2593,351.0,0,0,none,277.6,305.4,21738,LZ4Compressor,0,2593,178.1,0,none,0.02332,8.8,77.4,0,2593,,wireless,0,writes_only
64.7,2785,295.2,0,0,none,184.5,253.9,27865,LZ4Compressor,0,2785,141.3,0,none,0.02525,11.0,71.5,0,2785,,wireless,0,writes_only
71.4,2532,323.2,0,0,none,189.3,259.4,33604,LZ4Compressor,0,2532,158.7,0,none,0.02114,13.3,79.2,0,2532,,wireless,0,writes_only
68.2,2678,304.6,0,0,none,184.7,255.9,39516,LZ4Compressor,0,2678,150.9,0,none,0.01887,15.5,74.8,0,2678,,wireless,0,writes_only
71.1,2613,447.7,0,0,none,199.5,283.4,45099,LZ4Compressor,0,2613,165.7,0,none,0.02018,17.6,76.8,0,2613,,wireless,0,writes_only
69.7,2612,323.7,0,0,none,193.1,250.2,50824,LZ4Compressor,0,2612,147.5,0,none,0.01795,19.8,75.8,0,2612,,wireless,0,writes_only
69.0,2805,201.3,0,0,none,168.3,199.1,51479,LZ4Compressor,0,2805,150.5,0,none,0.34452,20.1,72.6,0,2805,,wireless,0,writes_only
72.7,2213,347.6,0,0,none,207.9,236.6,4422,LZ4Compressor,0,2213,157.5,0,none,0.0,2.0,77.7,0,2213,,wireless,0,writes_only
79.0,2271,399.5,0,0,none,235.9,321.4,9879,LZ4Compressor,0,2271,174.6,0,none,0.00581,4.4,87.9,0,2271,,wireless,0,writes_only
72.0,2607,295.2,0,0,none,187.7,235.0,15558,LZ4Compressor,0,2607,146.5,0,none,0.0307,6.6,76.6,0,2607,,wireless,0,writes_only
65.0,2642,368.8,0,0,none,228.2,290.5,21124,LZ4Compressor,0,2642,171.6,0,none,0.03695,8.7,75.3,0,2642,,wireless,0,writes_only
66.8,2602,380.9,0,0,none,199.6,288.9,26701,LZ4Compressor,0,2602,155.6,0,none,0.03302,10.8,76.4,0,2602,,wireless,0,writes_only
68.2,2627,319.3,0,0,none,203.6,258.6,32276,LZ4Compressor,0,2627,149.3,0,none,0.02817,13.0,76.8,0,2627,,wireless,0,writes_only
67.6,2630,326.4,0,0,none,227.9,297.8,37945,LZ4Compressor,0,2630,147.7,0,none,0.02458,15.1,75.6,0,2630,,wireless,0,writes_only
69.5,2678,320.6,0,0,none,192.7,264.2,43504,LZ4Compressor,0,2678,148.6,0,none,0.02234,17.2,75.4,0,2678,,wireless,0,writes_only
70.3,2606,374.6,0,0,none,225.2,298.6,49482,LZ4Compressor,0,2606,154.0,0,none,0.02007,19.5,75.9,0,2606,,wireless,0,writes_only
66.5,2744,318.8,0,0,none,176.6,239.1,51096,LZ4Compressor,0,2744,144.2,0,none,0.08607,20.1,73.1,0,2744,,wireless,0,writes_only
