ram,wl,RunTime(s),dbs,ld,nm,Throughput(ops/sec),RunTime(ms),lt,n,rf,t,nt
2GB,c,11.751,500,False,nodal, 850.9914049868096, 11751.0,1,1,1,3,vm
2GB,c,13.013,1000,False,nodal, 768.4623069238454, 13013.0,1,1,1,2,vm
2GB,a,24.124,1000,False,nodal, 414.524954402255, 24124.0,1,3,1,3,vm
2GB,f,815.723,500,True,nodal, 612.9531716035958, 815723.0,1,6,1,3,vm
2GB,a,16.224,800,False,nodal, 616.370808678501, 16224.0,1,3,1,1,vm
2GB,c,1542.346,1000,True,nodal, 648.362948391606, 1542346.0,1,6,1,1,vm
2GB,c,285.704,800,True,nodal, 2800.100803628931, 285704.0,1,1,1,5,vm
2GB,a,891.088,500,True,nodal, 561.111809383585, 891088.0,1,6,1,1,vm
2GB,a,20.144,1000,False,nodal, 496.4257347100874, 20144.0,1,1,1,1,vm
2GB,a,778.974,1000,True,nodal, 1283.7398937576863, 778974.0,1,3,1,4,vm
2GB,c,386.339,500,True,nodal, 1294.2001713521026, 386339.0,1,3,1,3,vm
2GB,f,24.686,500,False,nodal, 405.0879040751843, 24686.0,1,6,1,2,vm
2GB,f,283.319,800,True,nodal, 2823.6722563612043, 283319.0,1,1,1,4,vm
2GB,c,767.762,500,True,nodal, 651.2434843089395, 767762.0,1,6,1,2,vm
2GB,a,11.835,500,False,nodal, 844.9514152936206, 11835.0,1,1,1,4,vm
2GB,f,1923.061,800,True,nodal, 199.13772886039496, 1923061.0,1,6,1,3,vm
2GB,c,397.112,500,True,nodal, 1259.0906343802253, 397112.0,1,3,1,1,vm
2GB,f,385.938,500,True,nodal, 1295.5448802657422, 385938.0,1,3,1,3,vm
2GB,a,751.945,500,True,nodal, 664.9422497656078, 751945.0,1,6,1,3,vm
2GB,a,357.569,1000,True,nodal, 2796.6630216825283, 357569.0,1,1,1,2,vm
2GB,a,35.353,1000,False,nodal, 282.8614261873108, 35353.0,1,6,1,2,vm
2GB,f,19.624,800,False,nodal, 509.580105992662, 19624.0,1,3,1,4,vm
2GB,f,47.219,500,False,nodal, 211.77915669539803, 47219.0,1,6,1,4,vm
2GB,c,12.555,1000,False,nodal, 796.4954201513341, 12555.0,1,1,1,1,vm
2GB,c,30.187,800,False,nodal, 331.2684268062411, 30187.0,1,6,1,1,vm
2GB,f,22.345,800,False,nodal, 447.52741105392704, 22345.0,1,1,1,2,vm
2GB,c,21.823,1000,False,nodal, 458.23214040232784, 21823.0,1,3,1,4,vm
2GB,f,359.832,1000,True,nodal, 2779.074679294782, 359832.0,1,1,1,1,vm
2GB,a,776.243,1000,True,nodal, 1288.256383632445, 776243.0,1,3,1,5,vm
2GB,f,1625.916,1000,True,nodal, 615.0379232383468, 1625916.0,1,6,1,4,vm
2GB,c,14.092,500,False,nodal, 709.622480840193, 14092.0,1,3,1,5,vm
2GB,f,29.816,1000,False,nodal, 335.3903944191038, 29816.0,1,3,1,2,vm
2GB,a,13.905,500,False,nodal, 719.165767709457, 13905.0,1,1,1,5,vm
2GB,f,21.898,1000,False,nodal, 456.6627089231893, 21898.0,1,1,1,3,vm
2GB,f,1301.78,800,True,nodal, 614.5431639754797, 1301780.0,1,6,1,4,vm
2GB,a,15.878,800,False,nodal, 629.8022420959819, 15878.0,1,3,1,4,vm
2GB,a,14.923,500,False,nodal, 670.1065469409637, 14923.0,1,3,1,4,vm
2GB,f,27.873,800,False,nodal, 358.7701359738815, 27873.0,1,6,1,2,vm
2GB,f,1657.1,1000,True,nodal, 603.4638826866212, 1657100.0,1,6,1,1,vm
2GB,c,615.11,800,True,nodal, 1300.5803839963585, 615110.0,1,3,1,2,vm
2GB,c,34.908,1000,False,nodal, 286.4672854360032, 34908.0,1,6,1,1,vm
2GB,f,355.698,1000,True,nodal, 2811.373693414076, 355698.0,1,1,1,4,vm
2GB,c,354.106,1000,True,nodal, 2824.01314860522, 354106.0,1,1,1,3,vm
2GB,f,18.5,500,False,nodal, 540.5405405405405, 18500.0,1,3,1,5,vm
2GB,f,27.577,1000,False,nodal, 362.62102476701597, 27577.0,1,3,1,5,vm
2GB,c,174.645,500,True,nodal, 2862.9505568438835, 174645.0,1,1,1,2,vm
2GB,a,46.085,1000,False,nodal, 216.99034392969511, 46085.0,1,6,1,5,vm
2GB,a,20.432,1000,False,nodal, 489.4283476898982, 20432.0,1,1,1,5,vm
2GB,f,791.188,500,True,nodal, 631.9610509765063, 791188.0,1,6,1,1,vm
2GB,c,618.586,800,True,nodal, 1293.2720753460312, 618586.0,1,3,1,3,vm
2GB,c,608.704,800,True,nodal, 1314.267690043108, 608704.0,1,3,1,4,vm
2GB,c,22.922,1000,False,nodal, 436.2621062734491, 22922.0,1,3,1,2,vm
2GB,f,20.428,1000,False,nodal, 489.5241824946152, 20428.0,1,1,1,2,vm
2GB,c,742.228,500,True,nodal, 673.6474506485878, 742228.0,1,6,1,5,vm
2GB,a,23.396,500,False,nodal, 427.42349119507605, 23396.0,1,3,1,1,vm
2GB,a,36.948,500,False,nodal, 270.65064414853305, 36948.0,1,6,1,5,vm
2GB,c,19.789,800,False,nodal, 505.3312446308555, 19789.0,1,6,1,3,vm
2GB,a,35.416,500,False,nodal, 282.35825615541, 35416.0,1,6,1,2,vm
2GB,a,1254.99,800,True,nodal, 637.4552785281157, 1254990.0,1,6,1,2,vm
2GB,f,387.134,500,True,nodal, 1291.5424633331095, 387134.0,1,3,1,2,vm
2GB,a,19.95,800,False,nodal, 501.2531328320802, 19950.0,1,1,1,4,vm
2GB,c,18.265,500,False,nodal, 547.4952094169176, 18265.0,1,3,1,1,vm
2GB,c,1568.678,1000,True,nodal, 637.479457224491, 1568678.0,1,6,1,4,vm
2GB,a,1553.738,1000,True,nodal, 643.6091541817218, 1553738.0,1,6,1,2,vm
2GB,a,21.258,800,False,nodal, 470.41113933577947, 21258.0,1,6,1,4,vm
2GB,f,763.257,1000,True,nodal, 1310.1746855908298, 763257.0,1,3,1,5,vm
2GB,c,1204.329,800,True,nodal, 664.2703115178659, 1204329.0,1,6,1,5,vm
2GB,f,391.736,500,True,nodal, 1276.3698000694344, 391736.0,1,3,1,4,vm
2GB,c,13.481,500,False,nodal, 741.7847340701728, 13481.0,1,3,1,4,vm
2GB,a,12.155,1000,False,nodal, 822.7067050596462, 12155.0,1,1,1,4,vm
2GB,a,387.726,500,True,nodal, 1289.5704698678965, 387726.0,1,3,1,4,vm
2GB,a,1213.182,800,True,nodal, 659.4229060437758, 1213182.0,1,6,1,4,vm
2GB,a,16.128,800,False,nodal, 620.0396825396825, 16128.0,1,3,1,5,vm
2GB,f,35.255,1000,False,nodal, 283.64770954474545, 35255.0,1,6,1,1,vm
2GB,a,23.206,1000,False,nodal, 430.9230371455658, 23206.0,1,3,1,1,vm
2GB,f,56.067,1000,False,nodal, 178.35803592130844, 56067.0,1,6,1,3,vm
2GB,f,55.123,500,False,nodal, 181.4124775502059, 55123.0,1,6,1,1,vm
2GB,a,1559.621,1000,True,nodal, 641.1814152284434, 1559621.0,1,6,1,4,vm
2GB,f,281.984,800,True,nodal, 2837.040399455288, 281984.0,1,1,1,3,vm
2GB,f,20.608,800,False,nodal, 485.24844720496895, 20608.0,1,3,1,2,vm
2GB,c,17.786,500,False,nodal, 562.2399640166423, 17786.0,1,6,1,5,vm
2GB,f,23.623,500,False,nodal, 423.3162595775304, 23623.0,1,6,1,3,vm
2GB,c,1571.492,1000,True,nodal, 636.3379514499596, 1571492.0,1,6,1,3,vm
2GB,f,774.896,1000,True,nodal, 1290.4957568499515, 774896.0,1,3,1,1,vm
2GB,c,776.043,1000,True,nodal, 1288.588390076323, 776043.0,1,3,1,2,vm
2GB,c,1605.442,1000,True,nodal, 622.8814245547333, 1605442.0,1,6,1,5,vm
2GB,c,24.912,1000,False,nodal, 401.4129736673089, 24912.0,1,3,1,1,vm
2GB,f,22.279,1000,False,nodal, 448.8531801247812, 22279.0,1,1,1,1,vm
2GB,c,16.042,800,False,nodal, 623.3636703652911, 16042.0,1,3,1,1,vm
2GB,a,347.174,1000,True,nodal, 2880.4000299561603, 347174.0,1,1,1,4,vm
2GB,c,13.264,500,False,nodal, 753.9203860072377, 13264.0,1,1,1,2,vm
2GB,a,12.43,500,False,nodal, 804.5052292839904, 12430.0,1,1,1,3,vm
2GB,f,20.009,800,False,nodal, 499.775101204458, 20009.0,1,3,1,3,vm
2GB,c,1587.273,1000,True,nodal, 630.0113465043505, 1587273.0,1,6,1,2,vm
2GB,a,619.919,800,True,nodal, 1290.4911770731337, 619919.0,1,3,1,2,vm
2GB,a,616.726,800,True,nodal, 1297.1724882686963, 616726.0,1,3,1,1,vm
2GB,f,20.916,800,False,nodal, 478.102887741442, 20916.0,1,3,1,1,vm
2GB,f,831.76,500,True,nodal, 601.1349427719534, 831760.0,1,6,1,5,vm
2GB,c,12.341,500,False,nodal, 810.3071063933231, 12341.0,1,1,1,5,vm
2GB,f,15.883,500,False,nodal, 629.6039790971479, 15883.0,1,1,1,2,vm
2GB,f,171.452,500,True,nodal, 2916.2681100249633, 171452.0,1,1,1,4,vm
2GB,a,1187.962,800,True,nodal, 673.4222138418569, 1187962.0,1,6,1,1,vm
2GB,f,18.446,500,False,nodal, 542.1229534858506, 18446.0,1,3,1,4,vm
2GB,c,19.267,1000,False,nodal, 519.0221622463279, 19267.0,1,1,1,3,vm
2GB,c,14.584,800,False,nodal, 685.6829402084476, 14584.0,1,3,1,4,vm
2GB,c,845.759,500,True,nodal, 591.1849593087393, 845759.0,1,6,1,1,vm
2GB,f,31.034,1000,False,nodal, 322.2272346458723, 31034.0,1,6,1,4,vm
2GB,a,16.025,800,False,nodal, 624.02496099844, 16025.0,1,3,1,2,vm
